kepid;kepoi_name;kepler_name;koi_disposition;koi_score;koi_fpflag_nt;koi_fpflag_ss;koi_fpflag_co;koi_fpflag_ec;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_teq;koi_insol;koi_model_snr;koi_steff;koi_slogg;koi_srad;ra;dec;koi_kepmag
10028352;K01957.02;;FALSE POSITIVE;0;0;1;0;0;1.75147897;0.008;7.89;76.7;1.8;2340;7086.5;68.2;6823;4.04;2.037;297.79224;46.935829;12.655
3352751;K06330.01;;FALSE POSITIVE;0;0;1;0;0;3.495457889;0.965;6.9796;114620;84.49;2051;4186.71;724;8529;4.249;1.558;294.07187;38.426922;13.444
3427776;K06332.01;;FALSE POSITIVE;0;0;1;0;0;4.01668015;0.911;2.2828;38007;22.11;1016;252.13;87.9;5448;4.497;0.794;286.45258;38.538342;15.371
3437739;K06333.01;;FALSE POSITIVE;0;0;0;1;1;1.89134156;0.739;5.891;68.4;0.99;1673;1856.23;10.3;6387;4.41;1.105;289.79056;38.52906;15.343
3440230;K06334.01;;FALSE POSITIVE;0;0;1;0;0;2.881100027;0.829;9.43866;662830;446.29;2946;17809.19;3316.5;8104;3.675;3.369;290.47125;38.528561;13.636
3441340;K06335.01;;FALSE POSITIVE;0;0;1;1;0;0.806277023;0.697;7.275;70.8;0.89;2046;4119.09;37.9;6122;4.471;0.996;290.81723;38.53912;13.614
3448323;K06336.01;;FALSE POSITIVE;0;1;0;1;1;0.513482156;0.004;2.732;91.6;0.83;2072;4335.56;12.6;5495;4.495;0.882;292.64017;38.513569;15.63
4862625;K06464.02;;FALSE POSITIVE;;1;0;0;0;225.66716;0.3037;16.6;342.9;1.94;331;2.82;11.7;6363;4.444;1.035;298.21509;39.955101;13.718
4863369;K06465.01;;FALSE POSITIVE;0.001;0;0;1;0;4.24748886;0.242;3.053;121;1.01;1079;319.94;10;5807;4.524;0.922;298.38226;39.913521;15.146
4863753;K06466.01;;FALSE POSITIVE;0.002;0;0;1;0;1.000012952;0.097;1.221;36;2.12;2858;15781.19;11.9;5176;3.534;3.605;298.47495;39.92321;11.942
4902030;K06467.01;;FALSE POSITIVE;0;0;1;0;0;0.878803439;0.467;2.74503;410720;51.97;1347;775.9;524.8;4524;4.566;0.737;283.61157;40.05624;15.929
4908495;K06468.01;;FALSE POSITIVE;0;0;1;0;0;1.560158562;0.712;3.4248;240160;45.91;1223;530.79;459.9;4926;4.548;0.749;286.65768;40.02726;13.871
4912589;K06469.01;;FALSE POSITIVE;0;0;1;0;0;34.18830271;0.957;3.01179;118440;74.5;660;44.91;2594.9;5757;4.134;1.345;288.3205;40.000523;12.869
4914709;K06470.01;;FALSE POSITIVE;0;0;1;0;1;8.65303996;0.369;1.091;497;1.88;764;80.51;14.7;5301;4.528;0.84;289.08063;40.026791;15.639
4914737;K06471.01;;FALSE POSITIVE;0;0;1;0;1;8.65311903;0.701;1.273;206.8;0.85;493;13.95;8.9;3929;4.705;0.55;289.08875;40.018162;15.109
5471141;K06584.01;;FALSE POSITIVE;;0;1;1;1;12.4253812;0.1583;19.781;115.3;1.14;823;108.46;26.8;5925;4.412;1.066;297.57599;40.61364;13.854
5471328;K06585.01;;FALSE POSITIVE;;1;0;0;1;12.42555999;0.9066;28.083;2964.8;4.72;599;30.49;122;4922;4.576;0.704;297.62177;40.604099;15.902
5471415;K06586.01;;FALSE POSITIVE;0;1;0;1;1;12.4257442;0.963;29.122;936;8.43;1551;1369.63;49.6;8691;4.072;2.193;297.64334;40.62252;12.625
5471480;K06587.01;;FALSE POSITIVE;0;1;0;1;1;12.4254241;0.938;24.98;378.9;2.17;755;76.9;36;5853;4.529;0.895;297.66238;40.68774;15.71
